"Country","SourceName"
"Czechia","Hradec Králové"
"Czechia","Hradiste"
"Czechia","Hvzda Cheb"
"Czechia","Jablonec"
"Czechia","Karviná"
"Czechia","MFK Usti Nad Labem"
"Czechia","Mladá Boleslav"
"Czechia","Sfc Opava"
"Czechia","Sk Beneov"
"Czechia","Sk Kladno"
"Czechia","Slovácko"
"Czechia","Sparta Praha"
"Czechia","Teplice"
"Czechia","Viktoria Zizkov"
"Czechia","Vysocina Jihlava"
"England","Accrington FC"
"England","Afc Wimbledon"
"England","Darwen"
"England","Glossop North End"
"England","Sunderland Afc"
"France","Ac Arles Avignon"
"France","Angouleme CFc"
"France","As Aixoise"
"France","As Cannes"
"France","As Nancy"
"France","Avignon Foot 84"
"France","CS Sedan"
"France","Estac Troyes"
"France","Evian Thonon Gaillard"
"France","FC Sete"
"France","Lb Chateauroux"
"France","Matra Racing"
"France","Nimes Olympique"
"France","Olympique Ales"
"France","Olympique Lyon"
"France","PSG"
"France","Red Star Olympique"
"France","Red Star Olympique Audonien"
"France","Sporting Toulon Var"
"France","Sr Colmar"
"France","Stade Francais"
"France","Stade Laval"
"France","Stade Red Star"
"France","Ua Sedan Torcy"
"Germany","1 FC Kaiserslautern"
"Germany","1 FC Koeln"
"Germany","1 FC Nuernberg"
"Germany","1 FC Saarbruecken"
"Germany","Blau Weiss 90 Berlin"
"Germany","Bochum"
"Germany","Borussia Neunkirchen"
"Germany","Fortuna Duesseldorf"
"Germany","Fortuna Koln"
"Germany","Freiburg"
"Germany","Hertha BSC Berlin"
"Germany","Hoffenheim"
"Germany","KSC Uerdingen 05"
"Germany","Mainz 05"
"Germany","Preussen Munster"
"Germany","Rot Weiss Essen"
"Germany","Rot Weiss Oberhausen"
"Germany","Sg Wattenscheid 09"
"Germany","Spvgg Unterhaching"
"Germany","Stuttgart"
"Germany","Tasmania 1900 Berlin"
"Germany","Tebe Berlin"
"Germany","TSV 1860 Muenchen"
"Germany","Vfb Leipzig"
"Greece","Ae Larisa"
"Greece","AEK Athens"
"Greece","Ael Kalloni"
"Greece","Aep Iraklis FC"
"Greece","Ags Kastoria"
"Greece","Akratitos Liosion"
"Greece","Ao Aigaleo"
"Greece","Ao Kavala"
"Greece","Ao Kerkyra"
"Greece","Ao Proodeftiki"
"Greece","Apollon Athens"
"Greece","Apollon Kalamarias"
"Greece","Apollon Larisas"
"Greece","Aris"
"Greece","Ask Olympiakos"
"Greece","Athens Kallithea"
"Greece","Athinaikos"
"Greece","Atromitos FC"
"Greece","Diagoras GS Rodos"
"Greece","Doxa Dramas FC"
"Greece","Edessaikos"
"Greece","Ergotelis"
"Greece","Ethnikos Asteras"
"Greece","Halkidona FC"
"Greece","Ionikos Nikea"
"Greece","Kalamata"
"Greece","Niki Volou FC"
"Greece","OFI"
"Greece","Pae Ethnikos Pireaus"
"Greece","Panachaiki Ge"
"Greece","Panaitolikos"
"Greece","Paneleysiniakos Ao Eleysinas"
"Greece","Paniliakos FC"
"Greece","Panionios Gss"
"Greece","Panthrakikos"
"Greece","PAOK"
"Greece","Pas Giannina"
"Greece","PAS Korinthos"
"Greece","Platanias"
"Greece","SFK Pierikos Katerini"
"Greece","Skoda Xanthi"
"Greece","Thrasyvoulos Fylis"
"Greece","Trikala"
"Greece","Veria FC"
"Italy","Ac Cesena"
"Italy","Ac Liguria"
"Italy","Ac Mantova"
"Italy","Ac Perugia Calcio"
"Italy","Ac Pistoiese"
"Italy","AC Reggiana"
"Italy","Ac Venezia"
"Italy","Acf Fiorentina"
"Italy","Acr Messina"
"Italy","Ancona Calcio"
"Italy","As Bari"
"Italy","As Livorno"
"Italy","Casale"
"Italy","FC Treviso"
"Italy","Legnano"
"Italy","Pescara Calcio"
"Italy","Piacenza Calcio"
"Italy","Salernitana Calcio 1919"
"Italy","Sampierdarenese"
"Italy","SPAL Ferrara"
"Italy","Unione Triestina"
"Italy","US Foggia"
"Netherlands","Afc Dws"
"Netherlands","Ajax"
"Netherlands","Alkmaar 54"
"Netherlands","Blauw Wit"
"Netherlands","Bvv"
"Netherlands","Bvv Den Bosch"
"Netherlands","De Volewijckers"
"Netherlands","Dos Utrecht"
"Netherlands","FC Amsterdam Old"
"Netherlands","FC Den Bosch"
"Netherlands","FC Dordrecht"
"Netherlands","Fortuna 54"
"Netherlands","Groningen"
"Netherlands","Gvav Rapiditas"
"Netherlands","Heerenveen"
"Netherlands","Helmond Sport"
"Netherlands","Heracles"
"Netherlands","Hfc Haarlem"
"Netherlands","Holland Sport"
"Netherlands","MVV"
"Netherlands","Noad Tilburg"
"Netherlands","RBC Roosendaal"
"Netherlands","Roda JC Kerkrade"
"Netherlands","Sbv Excelsior"
"Netherlands","SC Enschede Alt"
"Netherlands","SC Telstar"
"Netherlands","SC Veendam"
"Netherlands","Sittardia"
"Netherlands","Svv Schiedam"
"Netherlands","Usv Elinkwijk"
"Netherlands","Utrecht"
"Netherlands","VVV Venlo"
"Netherlands","Wvv Wageningen"
"Netherlands","Xerxes Dzb"
"Portugal","Academica De Coimbra"
"Portugal","Academico do Porto"
"Portugal","Academico Viseu"
"Portugal","Ad Fafe"
"Portugal","Ad Sanjoanense"
"Portugal","Agueda Rd"
"Portugal","Amora FC"
"Portugal","Arouca"
"Portugal","Atletico CP"
"Portugal","Benfica"
"Portugal","Caldas SC"
"Portugal","Campomaiorense"
"Portugal","Carcavelinhos FC"
"Portugal","Casa Pia"
"Portugal","Cd Feirense"
"Portugal","CD Trofense"
"Portugal","CS Maritimo"
"Portugal","CUF de Lisboa"
"Portugal","Estoril"
"Portugal","Estrela Amadora"
"Portugal","Fabril Do Barreiro"
"Portugal","Famalicão"
"Portugal","Farense"
"Portugal","FC Barreirense"
"Portugal","FC Felgueiras"
"Portugal","FC Penafiel"
"Portugal","FC Tirsense"
"Portugal","Gc Alcobaca"
"Portugal","Gd Riopele"
"Portugal","Leca FC"
"Portugal","Leixoes SC"
"Portugal","Lusitano GC"
"Portugal","Lusitano VRSA"
"Portugal","Montijo"
"Portugal","Moreirense"
"Portugal","Nacional"
"Portugal","Naval 1 De Maio"
"Portugal","O Elvas"
"Portugal","Oriental"
"Portugal","Os Belenenses"
"Portugal","Pacos De Ferreira"
"Portugal","Porto"
"Portugal","Rio Ave"
"Portugal","Santa Clara"
"Portugal","SC Beira Mar"
"Portugal","SC Espinho"
"Portugal","SC Olhanense"
"Portugal","SC Salgueiros"
"Portugal","Seixal"
"Portugal","Sporting Covilha"
"Portugal","UD Oliveirense"
"Portugal","Uniao Coimbra"
"Portugal","Uniao de Lisboa"
"Portugal","Uniao Leiria"
"Portugal","Uniao Madeira"
"Portugal","Uniao Tomar"
"Portugal","Uniao Torreense"
"Portugal","Varzim SC"
"Portugal","Vitoria Setubal"
"Scotland","Abercorn FC"
"Scotland","Aberdeen"
"Scotland","Airdrieonians"
"Scotland","Airdrieonians FC Old"
"Scotland","Albion Rovers"
"Scotland","Alloa Athletic"
"Scotland","Arbroath FC"
"Scotland","Ayr United"
"Scotland","Boness United"
"Scotland","Cambuslang FC"
"Scotland","Celtic"
"Scotland","Clyde FC"
"Scotland","Clydebank FC"
"Scotland","Cowdenbeath FC"
"Scotland","Cowlairs FC"
"Scotland","Dumbarton FC"
"Scotland","Dundee"
"Scotland","Dunfermline Athletic"
"Scotland","East Fife FC"
"Scotland","East Stirlingshire FC"
"Scotland","Greenock Morton FC"
"Scotland","Gretna FC"
"Scotland","Hearts"
"Scotland","Hibernian"
"Scotland","Inverness Caledonian Thistle FC"
"Scotland","Kilmarnock"
"Scotland","Leith Athletic"
"Scotland","Motherwell"
"Scotland","Partick Thistle"
"Scotland","Port Glasgow Athletic"
"Scotland","Queen Of The South"
"Scotland","Queens Park FC"
"Scotland","Raith Rovers"
"Scotland","Rangers"
"Scotland","Renton FC"
"Scotland","Ross County"
"Scotland","St Bernards FC"
"Scotland","St. Johnstone"
"Scotland","St. Mirren"
"Scotland","Stirling Albion FC"
"Scotland","Third Lanark"
"Scotland","Vale Of Leven"
"Spain","AD Almeria"
"Spain","Arenas De Getxo"
"Spain","Atletico Tetuan"
"Spain","Cadiz CF"
"Spain","Cd Alcoyano"
"Spain","Cd Castellon"
"Spain","CD Condal"
"Spain","CD Leonesa"
"Spain","CD Logrones"
"Spain","Ce Europa"
"Spain","Ce Sabadell"
"Spain","CF Extremadura"
"Spain","Cordoba CF"
"Spain","Deportivo La Coruna"
"Spain","Gimnastic"
"Spain","Hercules CF"
"Spain","Levante Ud"
"Spain","Malaga CF"
"Spain","Merida Ad"
"Spain","Pontevedra CF"
"Spain","Real Jaen"
"Spain","Real Union"
"Spain","Sd Compostela"
"Spain","Sporting Gijon"
"Spain","Ud Almeria"
"Spain","Ud Salamanca"
"Spain","Ue Lleida"
"Spain","Xerez Cd"
"Switzerland","AC Bellinzona"
"Switzerland","Basel"
"Switzerland","Black Stars Basel"
"Switzerland","Blue Stars Zürich"
"Switzerland","Brühl St.Gallen"
"Switzerland","BSC Old Boys Basel"
"Switzerland","Chur 97"
"Switzerland","Concordia Basel"
"Switzerland","CS Bienne"
"Switzerland","CS Chenois"
"Switzerland","Etoile Carouge FC"
"Switzerland","Etoile La Chaux-de-Fonds"
"Switzerland","FC Baden"
"Switzerland","FC Bern"
"Switzerland","FC Bulle"
"Switzerland","FC Chiasso"
"Switzerland","FC Fribourg"
"Switzerland","FC Grenchen"
"Switzerland","FC La Chaux De Fonds"
"Switzerland","FC Locarno"
"Switzerland","FC Malley"
"Switzerland","FC Monthey"
"Switzerland","FC Moutier"
"Switzerland","FC Oerlikon Zürich"
"Switzerland","FC Olten"
"Switzerland","FC Raron"
"Switzerland","FC Schaffhausen"
"Switzerland","FC Solothurn"
"Switzerland","FC Wettingen"
"Switzerland","FC Wil 1900"
"Switzerland","FC Wohlen"
"Switzerland","Grasshoppers"
"Switzerland","Juventus Zürich"
"Switzerland","Lausanne-Sport"
"Switzerland","Lugano"
"Switzerland","Luzern"
"Switzerland","Mendrisiostar"
"Switzerland","Montreux-Sports"
"Switzerland","Neuchatel Xamax FCS"
"Switzerland","Nordstern Basel"
"Switzerland","Racing Lausanne"
"Switzerland","SC Kriens"
"Switzerland","SC Veltheim"
"Switzerland","SC Zug"
"Switzerland","Servette"
"Switzerland","Sion"
"Switzerland","Sr Delemont"
"Switzerland","St.Gallen"
"Switzerland","SV Seebach"
"Switzerland","Urania Genf"
"Switzerland","US Bienne-Boujean"
"Switzerland","Vaduz"
"Switzerland","Vevey-Sports"
"Switzerland","Winterthur"
"Switzerland","Young Boys"
"Switzerland","Yverdon Sport"
"Switzerland","Zürich"
"Turkey","Adalet Istanbul"
"Turkey","Adanaspor"
"Turkey","Akcaabat Sebatspor"
"Turkey","Altay Izmir"
"Turkey","Altinordu Fsg"
"Turkey","Ankara Demirspor"
"Turkey","Aydinspor"
"Turkey","Bakirkoeyspor"
"Turkey","Balikesirspor"
"Turkey","Belediye Vanspor"
"Turkey","Beykozspor"
"Turkey","Beyogluspor"
"Turkey","Boluspor"
"Turkey","Bucaspor"
"Turkey","Canakkale Dardanelspor"
"Turkey","Diyarbakirspor"
"Turkey","Elazigspor"
"Turkey","Erciyesspor"
"Turkey","Erzurumspor"
"Turkey","Eskisehirspor"
"Turkey","Etimesgut Sekerspor"
"Turkey","Fatih Karaguemruek SK"
"Turkey","Ferikoey"
"Turkey","Gaziantepspor"
"Turkey","Genclerbirligi"
"Turkey","Giresunspor"
"Turkey","Hacettepe"
"Turkey","Istanbulspor"
"Turkey","Izmirspor"
"Turkey","Kahramanmarasspor"
"Turkey","Karabuekspor"
"Turkey","Karsiyaka SK"
"Turkey","Kasımpaşa"
"Turkey","Kecioerenguecue"
"Turkey","Malatyaspor"
"Turkey","Manisaspor"
"Turkey","Mersin Idmanyurdu"
"Turkey","Mke Ankaraguecue"
"Turkey","Mke Kirikkalespor"
"Turkey","Orduspor"
"Turkey","Osmanlispor FK"
"Turkey","Pofisi"
"Turkey","Rizespor"
"Turkey","Sakaryaspor"
"Turkey","Sariyer SK"
"Turkey","Siirtspor"
"Turkey","Tuerk Telekom"
"Turkey","Vefa Istanbul"
"Turkey","Yesildirek SK"
"Turkey","Yozgatspor"
"Turkey","Zeytinburnuspor"
"Turkey","Zonguldak Koemuerspor"
"Ukraine","Arsenal Kiev"
"Ukraine","Borysfen Boryspil"
"Ukraine","Chornomorets"
"Ukraine","Dnipro 1"
"Ukraine","Dnipro Dnipropetrovsk"
"Ukraine","Dynamo Kyiv"
"Ukraine","FC Desna Chernihiv"
"Ukraine","FC Kharkiv"
"Ukraine","FC Lviv"
"Ukraine","FC Metalurh Donetsk"
"Ukraine","FK Bukovina"
"Ukraine","FK Illichivets"
"Ukraine","FK Kremin"
"Ukraine","FK Krivbas"
"Ukraine","FK Stal Kamjanske"
"Ukraine","FK Veres"
"Ukraine","Hoverla Uzhgorod"
"Ukraine","Inhulets'"
"Ukraine","Metalist Kharkov"
"Ukraine","Metalurg Zaporizhya"
"Ukraine","MFK Mikolaiv"
"Ukraine","Minai"
"Ukraine","Naftovik Ukrnafta"
"Ukraine","Niva Ternopil"
"Ukraine","Obolon Brovar Kyiv"
"Ukraine","Oleksandria"
"Ukraine","Olimpik Donetsk"
"Ukraine","PFC Sevastopol"
"Ukraine","PFK Niva Vinnitsa"
"Ukraine","Rukh Vynnyky"
"Ukraine","Sk Odessa"
"Ukraine","Spartak Ivano Frankivsk"
"Ukraine","Stal Alchevsk"
"Ukraine","Tavriya Simferopol"
"Ukraine","Temp Shepetivka"
"Ukraine","Torpedo Zaporizhya"
"Ukraine","Veres Rivne"
"Ukraine","Volyn Lutsk"
"Ukraine","Vorskla"
"Ukraine","Zirka Kirovograd"
"Ukraine","Zorya"
